"Philosopher","Influenced_By"
"http://dbpedia.org/resource/Wilfrid_Sellars","http://dbpedia.org/resource/Edmund_Husserl"
"http://dbpedia.org/resource/Wilfrid_Sellars","http://dbpedia.org/resource/C._I._Lewis"
"http://dbpedia.org/resource/Wilfrid_Sellars","http://dbpedia.org/resource/Gilbert_Ryle"
"http://dbpedia.org/resource/Wilfrid_Sellars","http://dbpedia.org/resource/Roy_Wood_Sellars"
"http://dbpedia.org/resource/Wilfrid_Sellars","http://dbpedia.org/resource/Rudolf_Carnap"
"http://dbpedia.org/resource/Wilfrid_Sellars","http://dbpedia.org/resource/Martin_Heidegger"
"http://dbpedia.org/resource/Wilfrid_Sellars","http://dbpedia.org/resource/Immanuel_Kant"
"http://dbpedia.org/resource/Wilhelm_Dilthey","http://dbpedia.org/resource/August_Böckh"
"http://dbpedia.org/resource/Wilhelm_Dilthey","http://dbpedia.org/resource/Georg_Wilhelm_Friedrich_Hegel"
"http://dbpedia.org/resource/Wilhelm_Dilthey","http://dbpedia.org/resource/German_Romanticism"
"http://dbpedia.org/resource/Wilhelm_Dilthey","http://dbpedia.org/resource/Johann_Gottfried_Herder"
"http://dbpedia.org/resource/Wilhelm_Dilthey","http://dbpedia.org/resource/Johann_Gustav_Droysen"
"http://dbpedia.org/resource/Wilhelm_Dilthey","http://dbpedia.org/resource/Friedrich_Adolf_Trendelenburg"
"http://dbpedia.org/resource/Wilhelm_Dilthey","http://dbpedia.org/resource/Friedrich_Schleiermacher"
"http://dbpedia.org/resource/Wilhelm_Dilthey","http://dbpedia.org/resource/Immanuel_Kant"
"http://dbpedia.org/resource/Wilhelm_Windelband","http://dbpedia.org/resource/Georg_Wilhelm_Friedrich_Hegel"
"http://dbpedia.org/resource/Wilhelm_Windelband","http://dbpedia.org/resource/Hermann_Lotze"
"http://dbpedia.org/resource/Wilhelm_Windelband","http://dbpedia.org/resource/Johann_Friedrich_Herbart"
"http://dbpedia.org/resource/Wilhelm_Windelband","http://dbpedia.org/resource/Kuno_Fischer"
"http://dbpedia.org/resource/Wilhelm_Windelband","http://dbpedia.org/resource/Immanuel_Kant"
"http://dbpedia.org/resource/Wilhelm_von_Humboldt","http://dbpedia.org/resource/Christian_Jakob_Kraus"
"http://dbpedia.org/resource/Wilhelm_von_Humboldt","http://dbpedia.org/resource/Johann_Gottfried_Herder"
"http://dbpedia.org/resource/Wilhelm_von_Humboldt","http://dbpedia.org/resource/Johann_Gottlieb_Fichte"
"http://dbpedia.org/resource/Wilhelm_von_Humboldt","http://dbpedia.org/resource/Immanuel_Kant"
"http://dbpedia.org/resource/Will_Kymlicka","http://dbpedia.org/resource/John_Rawls"
"http://dbpedia.org/resource/Will_Kymlicka","http://dbpedia.org/resource/John_Stuart_Mill"
"http://dbpedia.org/resource/Will_Kymlicka","http://dbpedia.org/resource/Ronald_Dworkin"
"http://dbpedia.org/resource/Will_Kymlicka","http://dbpedia.org/resource/G._A._Cohen"
"http://dbpedia.org/resource/Will_Kymlicka","http://dbpedia.org/resource/Tom_Regan"
"http://dbpedia.org/resource/Willard_Van_Orman_Quine","http://dbpedia.org/resource/Alfred_North_Whitehead"
"http://dbpedia.org/resource/Willard_Van_Orman_Quine","http://dbpedia.org/resource/Alfred_Tarski"
"http://dbpedia.org/resource/Willard_Van_Orman_Quine","http://dbpedia.org/resource/B._F._Skinner"
"http://dbpedia.org/resource/Willard_Van_Orman_Quine","http://dbpedia.org/resource/Vienna_Circle"
"http://dbpedia.org/resource/Willard_Van_Orman_Quine","http://dbpedia.org/resource/Pierre_Duhem"
"http://dbpedia.org/resource/Willard_Van_Orman_Quine","http://dbpedia.org/resource/C._I._Lewis"
"http://dbpedia.org/resource/Willard_Van_Orman_Quine","http://dbpedia.org/resource/Rudolf_Carnap"
"http://dbpedia.org/resource/Willard_Van_Orman_Quine","http://dbpedia.org/resource/Bertrand_Russell"
